price_earnings,price_book,price_sales,valuation_z__scaled,earnings_share,dividend_yield,ebitda,ebitda_log__scaled,profitability_ratio__scaled,market_cap,price,52w_range__scaled,price_to_52w_high__scaled,market_cap_log__scaled,dividend_flag__scaled
24.31,11.34,4.3902707,0.9082810779397061,7.92,2.3328617,9048000000.0,1.1029912878911994,-0.1892436474208096,138721055226.0,222.89,-0.22947848957056724,0.2699498829518243,1.47726675742504,0.0
27.76,6.35,3.5754826,0.5029094065023578,1.7,1.1479592,601000000.0,-0.6323411390880603,-0.33606427701543684,10783419933.0,60.24,0.08384892718562903,0.11203219503492752,-0.5417552006635424,0.0
22.51,3.19,3.7404804,0.07698829072532168,0.26,1.9089824,5744000000.0,0.8122095338012172,-0.32812405809988787,102121042306.0,56.27,-0.39525624980729973,0.5171798845782198,1.235164586353484,0.0
19.41,26.14,6.291571,2.2289556290386474,3.29,2.4995599,10310000000.0,1.186548829040215,-0.3189500401561498,181386347059.0,108.48,-1.7908096549770536,2.4514929960974663,1.68922164917448,0.0
25.47,10.62,2.604117,0.6857347417223103,5.44,1.7144699,5643228000.0,0.800882828993839,-0.3143486881888335,98765855553.0,150.51,0.011209540876205296,0.4356152473946245,1.208760071383432,0.0
31.8,5.16,10.59512,1.3159377215266614,1.28,0.43190324,2704000000.0,0.3300623332745722,-0.4017690518713085,52518668144.0,65.83,-1.4577576956033143,1.981704269043488,0.7095614951577985,0.0
18.22,3.55,1.7953473,-0.2502151036690889,7.43,0.35118526,587800000.0,-0.6465530791181087,0.25843185281013764,6242377704.0,145.41,-0.5871259956161858,-0.7308987173787633,-0.9738220778490735,0.0
52.31,11.06,13.092818,2.7767025986075953,3.39,0.0,2538040000.0,0.28952840989949175,-0.7829970193723889,94550214268.0,185.16,-1.1402708849886933,1.6841032703302738,1.174282452159241,-1.0
19.54,2.51,1.1301061,-0.3700831162071469,6.19,0.21832074,853941000.0,-0.4075506413839338,0.42791353608154165,8123611867.0,109.63,-1.8875760581961114,0.7619264004282703,-0.7656218946230945,0.0
187.0,21.47,2.1091955,6.886500288958031,0.03,0.0,339000000.0,-0.9987684257354459,-0.7296706055487701,11191663795.0,12.8328,-0.6477763400756906,0.042100078514379004,-0.5123846684905189,-1.0
9.96,2.2,0.65951383,-0.7649064425647603,-1.72,4.961832,3001000000.0,0.39675283533430206,5.509768665778374,6920851212.0,12.8328,-0.6477763400756906,0.042100078514379004,-0.892271278898336,0.0
